Season,Name,AVG,OBP,SLG,wRC+,wOBA,OPS,BABIP,WAR,K%,BB%,HR,Def,SB,CS,BsR,Triples,Doubles,RBI,Hits,Age,G,PA
2024,Andrew Benintendi,0.189,0.226,0.265,38.0,0.22,0.491,0.215,-1.7,0.2,0.0,3,-7.8,2,1,-0.5,0,5,17,35,29,49,195
2024,Elehuris Montero,0.213,0.280,0.305,54.0,0.264,0.584,0.254,-1.1,0.2,0.1,3,-5.1,0,0,-2.0,0,7,22,37,25,51,193
2024,Ceddanne Rafaela,0.205,0.234,0.353,57.0,0.255,0.586,0.252,-0.4,0.3,0.0,5,-1.2,7,3,0.9,2,9,28,39,23,56,203
2024,Corbin Carroll,0.184,0.269,0.279,60.0,0.25,0.547,0.226,0.0,0.2,0.1,2,0.9,9,4,1.3,4,5,17,37,23,52,227
2024,Andrew Vaughn,0.197,0.259,0.308,62.0,0.256,0.567,0.245,-0.9,0.2,0.1,4,-5.5,1,0,-0.7,0,10,19,39,26,53,216
2024,Colt Keith,0.223,0.278,0.291,63.0,0.255,0.569,0.264,-0.1,0.2,0.1,2,0.7,3,1,0.0,0,6,19,40,22,54,194
2024,Jared Triolo,0.203,0.286,0.271,63.0,0.256,0.557,0.260,0.0,0.3,0.1,3,2.7,4,1,-0.7,0,3,19,36,26,51,203
2024,Nick Castellanos,0.199,0.264,0.308,66.0,0.258,0.572,0.235,-1.2,0.2,0.1,6,-6.5,1,2,-3.4,1,3,22,42,32,56,231
2024,Eugenio Suarez,0.207,0.269,0.315,67.0,0.261,0.584,0.271,0.2,0.3,0.1,4,1.8,2,0,0.6,0,10,27,42,32,57,227
2024,Randy Arozarena,0.159,0.255,0.313,70.0,0.259,0.567,0.187,-0.4,0.3,0.1,8,-2.7,7,2,-0.2,0,6,18,31,29,53,220
