Season,Name,SIERA,IP,xFIP,K|9,FIP,GB%,K%,BABIP,WAR,vFA_sc,ERA,BB%,BB|9,SO,SwStr%,LOB%,HR|FB,K|BB,WHIP,BB,Age
2024,A.J. Puk,6.90,17.0,6.97,6.88,5.9,32.2,14.1,0.362,-0.1,93.5,9.0,20.7,10.06,13,8.1,54.2,0.045,0.68,2.41,19,29
2024,Jake Bird,5.82,20.2,6.09,5.23,6.33,50.0,12.5,0.281,-0.5,94.3,6.1,15.6,6.53,12,8.8,68.0,0.125,0.8,1.74,15,28
2024,Mitch White,5.59,21.1,5.70,5.06,6.43,38.9,12.0,0.286,-0.5,93.9,7.59,13.0,5.48,12,7.1,58.6,0.154,0.92,1.73,13,29
2024,Genesis Cabrera,5.45,17.2,5.60,5.6,6.7,40.3,12.8,0.317,-0.5,95.6,5.09,12.8,5.6,11,9.2,66.9,0.174,1.0,1.92,11,27
2024,Nick Anderson,5.42,17.1,5.58,5.71,5.44,41.4,13.6,0.321,-0.2,94.0,4.15,13.6,5.71,11,6.4,82.2,0.1,1.0,1.79,11,33
2024,Hector Neris,5.36,17.0,5.43,7.94,4.8,51.1,19.5,0.283,-0.2,92.5,2.65,18.2,7.41,15,10.1,87.0,0.059000000000000004,1.07,1.65,14,35
2024,Tanner Scott,5.35,18.0,5.10,9.5,4.57,50.0,22.6,0.213,-0.1,96.4,2.0,20.2,8.5,19,11.7,75.2,0.063,1.12,1.56,17,29
2024,Chase Anderson,5.33,21.2,5.58,4.57,5.18,29.6,12.0,0.217,-0.1,93.3,4.98,8.7,3.32,11,10.9,65.8,0.08800000000000001,1.38,1.2,8,36
2024,Yerry Rodriguez,5.33,17.0,5.76,6.35,7.67,40.7,15.4,0.224,-0.6,96.3,6.88,14.1,5.82,12,9.1,71.4,0.217,1.09,1.59,11,26
2024,Steven Wilson,5.18,18.0,5.66,9.0,6.53,25.0,23.1,0.122,-0.4,93.2,3.0,17.9,7.0,18,10.2,87.0,0.154,1.29,1.28,14,29
