Season,Name,SIERA,IP,xFIP,K|9,FIP,GB%,K%,BABIP,WAR,vFA_sc,ERA,BB%,BB|9,SO,SwStr%,LOB%,HR|FB,K|BB,WHIP,BB,Age
2024,Triston McKenzie,5.15,52.1,5.23,7.74,5.49,35.4,20.2,0.219,-0.2,90.8,3.44,13.9,5.33,45,8.6,82.2,0.12300000000000001,1.45,1.34,31,26
2024,Griffin Canning,5.05,51.2,5.16,6.27,5.4,34.0,16.1,0.266,-0.1,93.3,5.05,9.4,3.66,36,9.9,71.7,0.122,1.71,1.37,21,28
2024,Patrick Corbin,5.00,54.1,4.60,5.3,4.79,46.6,12.9,0.362,0.3,91.3,6.29,8.5,3.48,32,8.4,63.8,0.12300000000000001,1.52,1.77,21,34
2024,Tyler Anderson,4.88,64.1,4.87,6.16,4.3,35.4,17.1,0.209,0.8,89.2,2.52,8.9,3.22,44,12.3,84.5,0.078,1.91,1.06,23,34
2024,Ross Stripling,4.74,52.0,4.42,5.54,3.92,35.7,13.7,0.350,0.7,91.6,5.19,5.2,2.08,32,8.4,58.7,0.077,2.67,1.56,12,34
2024,JP Sears,4.67,54.1,4.77,6.46,4.62,34.1,17.3,0.250,0.2,92.3,4.31,7.1,2.65,39,10.0,73.0,0.1,2.44,1.18,16,28
2024,Jose Quintana,4.62,52.2,4.44,6.15,4.64,47.6,15.9,0.287,0.2,90.2,5.13,7.9,3.08,36,7.8,68.5,0.12300000000000001,2.0,1.37,18,35
2024,Cal Quantrill,4.61,51.2,4.36,6.27,4.8,50.0,16.7,0.273,0.4,-1.0,3.66,9.3,3.48,36,7.6,81.4,0.14300000000000002,1.8,1.32,20,29
2024,Kyle Gibson,4.52,55.0,4.35,7.04,4.61,49.7,18.9,0.261,0.3,91.6,4.09,10.1,3.76,43,10.2,74.0,0.127,1.87,1.27,23,36
2024,Austin Gomber,4.43,58.2,4.20,6.29,4.6,44.6,17.4,0.232,0.4,89.9,2.76,7.2,2.61,41,9.3,87.8,0.136,2.41,1.11,17,30
