Season,Name,AVG,OBP,SLG,wRC+,wOBA,OPS,BABIP,WAR,K%,BB%,HR,Def,SB,CS,BsR,Triples,Doubles,RBI,Hits,Age,G,PA
2024,Shohei Ohtani,0.360,0.430,0.669,210.0,0.468,1.099,0.405,3.0,0.2,0.1,12,-4.8,11,0,1.1,1,16,30,63,29,44,201
2024,Kyle Tucker,0.288,0.422,0.638,197.0,0.45,1.060,0.274,3.4,0.2,0.2,17,0.6,9,0,0.4,0,11,36,51,27,49,219
2024,Marcell Ozuna,0.324,0.405,0.641,191.0,0.445,1.046,0.354,2.1,0.2,0.1,15,-5.0,0,0,-1.6,0,9,46,55,33,46,195
2024,Mookie Betts,0.341,0.440,0.562,188.0,0.437,1.003,0.353,3.1,0.1,0.2,8,-0.5,8,1,0.9,3,11,29,63,31,47,218
2024,Aaron Judge,0.276,0.416,0.611,186.0,0.433,1.026,0.313,3.0,0.2,0.2,15,-0.9,2,0,-0.6,0,17,35,51,32,52,232
2024,William Contreras,0.359,0.434,0.553,180.0,0.428,0.987,0.423,2.6,0.2,0.1,6,1.8,3,0,-1.8,1,13,34,61,26,43,196
2024,Juan Soto,0.317,0.414,0.561,179.0,0.421,0.975,0.324,2.7,0.1,0.1,11,0.5,4,2,-1.0,1,9,37,57,25,47,215
2024,Jurickson Profar,0.339,0.431,0.517,178.0,0.416,0.949,0.371,2.2,0.1,0.1,7,-3.1,3,2,-0.7,0,10,32,59,31,52,204
2024,LaMonte Wade Jr.,0.339,0.481,0.430,173.0,0.411,0.911,0.443,1.9,0.2,0.2,2,0.0,1,1,-0.5,0,5,16,41,30,49,158
2024,Brent Rooker,0.294,0.365,0.587,172.0,0.408,0.952,0.378,1.5,0.3,0.1,11,-5.0,2,0,0.6,0,9,32,42,29,39,159
