Season,Name,SIERA,IP,xFIP,K|9,FIP,GB%,K%,BABIP,WAR,vFA_sc,ERA,BB%,BB|9,SO,SwStr%,LOB%,HR|FB,K|BB,WHIP,BB,Age
2024,Mason Miller,0.88,24.0,0.79,17.63,0.09,42.9,52.8,0.343,1.6,100.9,1.88,7.9,2.63,47,21.3,63.2,0.0,6.71,0.79,7,25
2024,Matt Strahm,1.49,23.0,1.93,12.91,0.65,27.1,39.3,0.292,1.2,93.2,0.78,3.6,1.17,33,13.1,82.4,0.0,11.0,0.74,3,32
2024,Fernando Cruz,1.79,24.1,1.53,17.75,1.32,34.2,48.0,0.342,1.1,94.8,4.07,13.0,4.81,48,21.7,62.5,0.077,3.69,1.11,13,34
2024,Cade Smith,1.83,25.1,1.91,13.5,1.08,41.5,38.4,0.302,0.9,95.5,1.78,7.1,2.49,38,11.8,79.2,0.0,5.43,0.91,7,25
2024,Josh Hader,1.91,26.0,1.88,14.88,2.47,43.1,41.0,0.327,0.6,-1.0,3.81,9.5,3.46,43,19.2,68.5,0.17600000000000002,4.3,1.12,10,30
2024,Clay Holmes,2.05,23.1,2.47,10.03,1.93,69.7,26.0,0.348,0.8,-1.0,1.54,6.0,2.31,26,11.0,77.4,0.0,4.33,1.24,6,31
2024,Andres Munoz,2.15,25.1,2.37,12.43,2.46,49.1,36.1,0.255,0.7,98.7,1.42,8.2,2.84,35,17.3,89.6,0.11800000000000001,4.38,0.91,8,25
2024,Griffin Jax,2.17,24.1,2.31,12.21,1.81,48.1,34.7,0.259,0.8,96.9,2.22,7.4,2.59,33,16.4,77.7,0.055999999999999994,4.71,0.9,7,29
2024,Paul Skenes,2.22,22.0,2.05,12.27,2.4,52.1,35.7,0.283,0.7,99.3,2.45,6.0,2.05,30,16.4,82.4,0.154,6.0,0.91,5,22
2024,Adrian Morejon,2.26,21.2,2.46,11.63,1.23,42.6,32.2,0.333,0.7,97.0,2.08,5.7,2.08,28,14.8,69.6,0.0,5.6,1.06,5,25
