Season,Name,SIERA,IP,xFIP,K|9,FIP,GB%,K%,BABIP,WAR,vFA_sc,ERA,BB%,BB|9,SO,SwStr%,LOB%,HR|FB,K|BB,WHIP,BB,Age
2024,Jack Flaherty,2.28,54.2,2.09,11.85,2.78,45.9,33.0,0.336,1.4,93.8,3.79,3.7,1.32,72,15.2,70.3,0.184,9.0,1.06,8,28
2024,Chris Sale,2.41,56.2,2.40,11.12,2.23,48.6,31.7,0.274,1.9,94.6,2.22,3.6,1.27,70,15.5,82.3,0.091,8.75,0.86,8,35
2024,Garrett Crochet,2.48,51.2,2.57,12.19,3.23,45.2,33.7,0.276,1.3,96.8,4.18,5.8,2.09,70,14.0,70.1,0.16,5.83,1.01,12,25
2024,Tarik Skubal,2.50,55.0,2.52,10.8,1.93,44.8,31.6,0.244,2.1,96.6,1.8,3.8,1.31,66,14.9,77.9,0.059000000000000004,8.25,0.78,8,27
2024,Tyler Glasnow,2.54,62.0,2.34,11.76,2.53,44.7,33.8,0.248,1.8,96.3,2.9,6.7,2.32,81,13.3,75.6,0.128,5.06,0.9,16,30
2024,Jared Jones,2.58,53.0,2.67,10.7,3.4,39.3,30.6,0.254,1.0,97.3,2.89,3.4,1.19,63,18.4,85.2,0.161,9.0,0.91,7,22
2024,Ranger Suarez,2.73,59.0,2.69,8.85,2.69,57.1,26.5,0.215,1.8,92.2,1.37,4.6,1.53,58,10.2,87.3,0.10800000000000001,5.8,0.76,10,28
2024,Dylan Cease,2.91,55.0,3.18,11.13,2.33,35.8,32.7,0.193,1.8,96.8,2.45,8.2,2.78,68,15.2,65.3,0.049,4.0,0.78,17,28
2024,Tanner Houck,2.92,58.0,2.82,8.84,2.2,55.6,24.3,0.292,1.9,91.6,2.17,4.7,1.71,57,11.2,70.3,0.028999999999999998,5.18,1.02,11,28
2024,Joe Ryan,2.93,53.0,2.97,9.85,3.1,36.8,27.4,0.288,1.2,93.6,3.57,3.3,1.19,58,12.5,68.6,0.11699999999999999,8.29,1.02,7,28
